Customer ID,Age,Gender,Location,Purchase Amount (USD),Previous Purchases,Item Purchased,Category,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Payment Method,Frequency of Purchases,Discount Applied,Promo Code Used,Loyalty_Score_Final,Loyalty_Tier_Corrected,Buyer_Type
1,55,Male,Kentucky,53,14,Blouse,Clothing,L,Gray,Winter,3.1,Yes,Express,Venmo,Fortnightly,Yes,Yes,52.4591836734694,Medium Loyalty,Mixed Behavior
2,19,Male,Maine,64,2,Sweater,Clothing,L,Maroon,Winter,3.1,Yes,Express,Cash,Fortnightly,Yes,Yes,50.612244897959194,Medium Loyalty,Mixed Behavior
3,50,Male,Massachusetts,73,23,Jeans,Clothing,S,Maroon,Spring,3.1,Yes,Free Shipping,Credit Card,Weekly,Yes,Yes,69.96938775510205,High Loyalty,Valuable but Promo-Driven
4,21,Male,Rhode Island,90,49,Sandals,Footwear,M,Maroon,Spring,3.5,Yes,Next Day Air,PayPal,Weekly,Yes,Yes,94.38775510204081,High Loyalty,Valuable but Promo-Driven
5,45,Male,Oregon,49,31,Blouse,Clothing,M,Turquoise,Spring,2.7,Yes,Free Shipping,PayPal,Annually,Yes,Yes,55.86734693877551,High Loyalty,Valuable but Promo-Driven
6,46,Male,Wyoming,20,14,Sneakers,Footwear,M,White,Summer,2.9,Yes,Standard,Venmo,Weekly,Yes,Yes,37.95918367346939,Medium Loyalty,Mixed Behavior
7,63,Male,Montana,85,49,Shirt,Clothing,M,Gray,Fall,3.2,Yes,Free Shipping,Cash,Quarterly,Yes,Yes,81.8877551020408,High Loyalty,Valuable but Promo-Driven
8,27,Male,Louisiana,34,19,Shorts,Clothing,L,Charcoal,Winter,3.2,Yes,Free Shipping,Credit Card,Weekly,Yes,Yes,48.0204081632653,Medium Loyalty,Mixed Behavior
9,26,Male,West Virginia,97,8,Coat,Outerwear,L,Silver,Summer,2.6,Yes,Express,Venmo,Annually,Yes,Yes,65.78571428571429,High Loyalty,Valuable but Promo-Driven
10,57,Male,Missouri,31,4,Handbag,Accessories,M,Pink,Spring,4.8,Yes,2-Day Shipping,Cash,Quarterly,Yes,Yes,27.336734693877553,Low Loyalty,Discount-Only (Only Buy on Sale)
11,53,Male,Arkansas,34,26,Shoes,Footwear,L,Purple,Fall,4.1,Yes,Store Pickup,Bank Transfer,Bi-Weekly,Yes,Yes,42.30612244897959,Medium Loyalty,Mixed Behavior
12,30,Male,Hawaii,68,10,Shorts,Clothing,S,Olive,Winter,4.9,Yes,Store Pickup,Bank Transfer,Fortnightly,Yes,Yes,57.51020408163265,High Loyalty,Valuable but Promo-Driven
13,61,Male,Delaware,72,37,Coat,Outerwear,M,Gold,Winter,4.5,Yes,Express,Venmo,Fortnightly,Yes,Yes,76.04081632653062,High Loyalty,Valuable but Promo-Driven
14,65,Male,New Hampshire,51,31,Dress,Clothing,M,Violet,Spring,4.7,Yes,Express,PayPal,Weekly,Yes,Yes,63.867346938775505,High Loyalty,Valuable but Promo-Driven
15,64,Male,New York,53,34,Coat,Outerwear,L,Teal,Winter,4.7,Yes,Free Shipping,Debit Card,Weekly,Yes,Yes,66.70408163265306,High Loyalty,Valuable but Promo-Driven
16,64,Male,Rhode Island,81,8,Skirt,Clothing,M,Teal,Winter,2.8,Yes,Store Pickup,PayPal,Monthly,Yes,Yes,60.785714285714285,High Loyalty,Valuable but Promo-Driven
17,25,Male,Alabama,36,44,Sunglasses,Accessories,S,Gray,Spring,4.1,Yes,Next Day Air,Debit Card,Bi-Weekly,Yes,Yes,54.326530612244895,High Loyalty,Valuable but Promo-Driven
18,53,Male,Mississippi,38,36,Dress,Clothing,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Venmo,Quarterly,Yes,Yes,50.42857142857142,Medium Loyalty,Mixed Behavior
