Location,customer_count,avg_spend,total_revenue,pct_of_total_revenue,avg_previous_purchases,pct_no_discount,pct_no_promo,pct_high_loyalty,pct_low_loyalty,pct_subscribed,avg_rating,avg_loyalty_score,opportunity_score,market_classification
Pennsylvania,74,66.57,4926,2.1,27.4,55.4,55.4,47.3,25.7,28.4,3.78,48.7,89.6,"High Opportunity — Underlevered"
Alaska,72,67.60,4867,2.1,28.1,59.7,59.7,44.4,18.1,25.0,3.8,50,88.6,"High Opportunity — Underlevered"
Arizona,65,66.55,4326,1.9,28.4,66.2,66.2,36.9,23.1,24.6,3.69,48.2,86.1,"High Opportunity — Underlevered"
Nevada,87,63.38,5514,2.4,26.0,52.9,52.9,37.9,23.0,34.5,3.72,47.5,84.8,"High Opportunity — Underlevered"
Virginia,77,62.88,4842,2.1,23.5,62.3,62.3,35.1,29.9,31.2,3.72,45.5,84.7,"High Opportunity — Underlevered"
"West Virginia",81,63.88,5174,2.2,23.6,50.6,50.6,34.6,25.9,34.6,3.59,46.1,82.6,"High Opportunity — Underlevered"
"South Carolina",76,58.41,4439,1.9,26.0,50.0,50.0,36.8,30.3,35.5,3.76,44.6,81.1,"High Opportunity — Underlevered"
Wyoming,71,60.69,4309,1.8,28.2,57.8,57.8,35.2,21.1,28.2,3.69,46.8,80.9,"High Opportunity — Underlevered"
Iowa,69,60.88,4201,1.8,27.6,47.8,47.8,39.1,26.1,30.4,3.83,46.7,80.7,"High Opportunity — Underlevered"
Montana,96,60.25,5784,2.5,25.3,62.5,62.5,33.3,31.3,26.0,3.82,43.8,80.3,"High Opportunity — Underlevered"
Washington,73,63.33,4623,2.0,24.7,56.2,56.2,31.5,24.7,28.8,3.81,45.4,80.0,"High Opportunity — Underlevered"
California,95,59.00,5605,2.4,24.5,57.9,57.9,32.6,27.4,30.5,3.83,43.8,79.7,"High Opportunity — Underlevered"
Utah,71,62.58,4443,1.9,27.2,53.5,53.5,32.4,29.6,28.2,3.68,46.3,79.0,"High Opportunity — Underlevered"
Missouri,81,57.91,4691,2.0,28.1,50.6,50.6,34.6,27.2,33.3,3.77,45.5,78.9,"High Opportunity — Underlevered"
"New Mexico",81,61.90,5014,2.2,26.0,55.6,55.6,32.1,22.2,27.2,3.73,45.7,78.7,"High Opportunity — Underlevered"
"Rhode Island",63,61.44,3871,1.7,23.6,60.3,60.3,27.0,27.0,30.2,3.75,44.3,78.6,"High Opportunity — Underlevered"
Hawaii,65,57.72,3752,1.6,29.2,50.8,50.8,36.9,23.1,29.2,3.67,46.2,78.4,"High Opportunity — Underlevered"
Nebraska,87,59.45,5172,2.2,24.8,57.5,57.5,31.0,31.0,28.7,3.73,44.1,78.2,"High Opportunity — Underlevered"
"North Dakota",83,62.89,5220,2.2,23.8,54.2,54.2,28.9,26.5,28.9,3.75,44.2,77.8,"High Opportunity — Underlevered"
Massachusetts,72,60.89,4384,1.9,23.0,51.4,51.4,29.2,30.6,31.9,3.72,44.6,77.3,"High Opportunity — Underlevered"
"South Dakota",70,60.51,4236,1.8,24.6,62.9,62.9,28.6,32.9,24.3,3.68,43.1,77.3,"High Opportunity — Underlevered"
Alabama,89,59.11,5261,2.3,27.4,59.6,59.6,31.5,32.6,24.7,3.78,44.5,77.2,"High Opportunity — Underlevered"
Georgia,79,58.80,4645,2.0,25.1,59.5,59.5,27.9,29.1,29.1,3.62,44.1,77.0,"High Opportunity — Underlevered"
Illinois,92,61.05,5617,2.4,26.6,59.8,59.8,29.4,25.0,23.9,3.64,44.7,76.9,"High Opportunity — Underlevered"
Oklahoma,75,58.35,4376,1.9,23.0,52.0,52.0,29.3,28.0,33.3,3.59,43.7,76.8,"High Opportunity — Underlevered"
Texas,77,61.19,4712,2.0,21.5,63.6,63.6,29.9,36.4,19.5,3.89,41.1,76.6,"High Opportunity — Underlevered"
Tennessee,77,61.97,4772,2.0,26.0,63.6,63.6,29.9,29.9,18.2,3.78,44.3,76.4,"High Opportunity — Underlevered"
Arkansas,79,61.11,4828,2.1,27.1,53.2,53.2,30.4,26.6,25.3,3.71,45,75.9,"High Opportunity — Underlevered"
"New York",87,60.43,5257,2.3,24.2,58.6,58.6,28.7,31.0,24.1,3.76,43.4,75.9,"High Opportunity — Underlevered"
"North Carolina",78,60.79,4742,2.0,24.8,55.1,55.1,26.9,26.9,28.2,3.81,45.1,75.7,"High Opportunity — Underlevered"
Colorado,75,56.29,4222,1.8,24.0,58.7,58.7,29.3,34.7,28.0,3.73,41.8,75.7,"High Opportunity — Underlevered"
Minnesota,88,56.56,4977,2.1,26.2,55.7,55.7,29.6,28.4,29.6,3.75,44.1,75.7,"High Opportunity — Underlevered"
Michigan,73,62.10,4533,1.9,26.9,60.3,60.3,27.4,27.4,21.9,3.83,44.5,75.7,"High Opportunity — Underlevered"
Ohio,77,60.38,4649,2.0,25.1,55.8,55.8,27.3,28.6,27.3,3.81,44.5,75.5,"High Opportunity — Underlevered"
Louisiana,84,57.71,4848,2.1,23.4,58.3,58.3,26.2,26.2,29.8,3.78,43.1,75.4,"High Opportunity — Underlevered"
Mississippi,80,61.04,4883,2.1,26.0,52.5,52.5,28.8,26.3,26.3,3.76,45,75.2,"High Opportunity — Underlevered"
Vermont,85,57.18,4860,2.1,24.6,61.2,61.2,28.2,37.7,24.7,3.71,41.1,75.0,"High Opportunity — Underlevered"
"New Hampshire",71,59.42,4219,1.8,27.1,56.3,56.3,29.6,32.4,23.9,3.61,44.1,75.0,"High Opportunity — Underlevered"
Kentucky,79,55.72,4402,1.9,26.4,57.0,57.0,25.3,32.9,32.9,3.74,43.9,74.8,"Average Market"
Idaho,93,60.08,5587,2.4,24.2,59.1,59.1,28.0,34.4,20.4,3.79,41.9,73.9,"Average Market"
Delaware,86,55.33,4758,2.0,24.6,54.7,54.7,24.4,36.1,32.6,3.8,42.2,73.3,"Average Market"
Florida,68,55.85,3798,1.6,26.1,54.4,54.4,25.0,36.8,30.9,3.68,42.8,73.0,"Average Market"
"New Jersey",67,56.75,3802,1.6,23.8,59.7,59.7,25.4,41.8,23.9,3.77,39.9,72.5,"Average Market"
Maine,77,56.99,4388,1.9,22.6,64.9,64.9,20.8,32.5,24.7,3.84,40.6,72.2,"Organic Growth — Nurture"
Indiana,79,58.92,4655,2.0,25.8,43.0,43.0,30.4,29.1,26.6,3.81,44.3,71.9,"Average Market"
Maryland,86,55.76,4795,2.1,26.5,55.8,55.8,25.6,34.9,23.3,3.81,42.1,70.6,"Average Market"
Oregon,74,57.34,4243,1.8,25.5,48.7,48.7,27.0,33.8,24.3,3.75,42,70.2,"Average Market"
Connecticut,78,54.18,4226,1.8,24.0,66.7,66.7,18.0,38.5,20.5,3.69,38.7,68.1,"Organic Growth — Nurture"
Kansas,63,54.56,3437,1.5,23.4,76.2,76.2,17.5,44.4,12.7,3.8,37.1,67.9,"Organic Growth — Nurture"
Wisconsin,75,55.95,4196,1.8,23.0,52.0,52.0,17.3,42.7,17.3,3.89,38.7,62.5,"Average Market"
